,cost_center_id,company_code_id,profit_center_id,gl_account_id
0,CCTR002,CCODE001,PCENT002,5000002
1,CCTR003,CCODE001,PCENT002,5000002
2,CCTR004,CCODE001,PCENT002,5000002
3,CCTR004,CCODE001,PCENT002,5000002
4,CCTR004,CCODE001,PCENT002,5000002
5,CCTR005,CCODE001,PCENT002,5000002
6,CCTR005,CCODE001,PCENT002,5000002
7,CCTR006,CCODE001,PCENT002,5000002
8,CCTR006,CCODE001,PCENT002,5000002
9,CCTR006,CCODE001,PCENT002,5000002
10,CCTR007,CCODE001,PCENT002,5000002
11,CCTR007,CCODE001,PCENT002,5000002
12,CCTR007,CCODE001,PCENT002,5000002
13,CCTR008,CCODE001,PCENT002,5000002
14,CCTR008,CCODE001,PCENT002,5000002
15,CCTR008,CCODE001,PCENT002,5000002
16,CCTR002,CCODE002,PCENT002,5000002
17,CCTR002,CCODE002,PCENT002,5000002
18,CCTR003,CCODE002,PCENT002,5000002
19,CCTR003,CCODE002,PCENT002,5000002
20,CCTR003,CCODE002,PCENT002,5000002
21,CCTR003,CCODE002,PCENT002,5000002
22,CCTR004,CCODE002,PCENT002,5000002
23,CCTR004,CCODE002,PCENT002,5000002
24,CCTR004,CCODE002,PCENT002,5000002
25,CCTR005,CCODE002,PCENT002,5000002
26,CCTR005,CCODE002,PCENT002,5000002
27,CCTR006,CCODE002,PCENT002,5000002
28,CCTR006,CCODE002,PCENT002,5000002
29,CCTR006,CCODE002,PCENT002,5000002
30,CCTR007,CCODE002,PCENT002,5000002
31,CCTR007,CCODE002,PCENT002,5000002
32,CCTR007,CCODE002,PCENT002,5000002
33,CCTR008,CCODE002,PCENT002,5000002
34,CCTR008,CCODE002,PCENT002,5000002
35,CCTR002,CCODE003,PCENT002,5000002
36,CCTR002,CCODE003,PCENT002,5000002
37,CCTR003,CCODE003,PCENT002,5000002
38,CCTR003,CCODE003,PCENT002,5000002
39,CCTR003,CCODE003,PCENT002,5000002
40,CCTR007,CCODE003,PCENT002,5000002
41,CCTR007,CCODE003,PCENT002,5000002
42,CCTR002,CCODE004,PCENT002,5000002
43,CCTR002,CCODE004,PCENT002,5000002
44,CCTR003,CCODE004,PCENT002,5000002
45,CCTR003,CCODE004,PCENT002,5000002
46,CCTR003,CCODE004,PCENT002,5000002
47,CCTR004,CCODE004,PCENT002,5000002
48,CCTR004,CCODE004,PCENT002,5000002
49,CCTR004,CCODE004,PCENT002,5000002
50,CCTR004,CCODE004,PCENT002,5000002
51,CCTR004,CCODE004,PCENT002,5000002
52,CCTR007,CCODE004,PCENT002,5000002
